"gene","P29_Pre_Mosun","P29_Post_Mosun","P73_Pre_Mosun","P73_Post_Mosun","P100_Pre_Mosun","P100_Post_Mosun","P195_Pre_Mosun","P195_Post_Mosun"
"BANK1",52.448439691785,36.0337856687602,293.487872512381,236.292137311443,395.003640751191,116.675809619639,11.654041031884,60.6349687148967
"PAX5",156.879719349632,194.048457778431,170.755333025553,355.423749302728,147.731935357199,185.940727091409,117.576759605232,97.2869442174209
"BLNK",310.5687111671,381.28962799274,153.758694312383,265.446891809674,515.1971959253,161.908559708646,634.930144876351,311.05061465058
"MS4A1",2231.40037963906,763.45564330661,1187.22636226344,1065.92468321876,1590.73262574648,0,0.0782150404824429,0.270994273586131
"CD19",102.048504590909,103.65827709916,180.617156698684,195.679087768959,52.8340513739957,122.726204227585,24.2857700697985,31.7740785779738
"CD79B",57.1044369490192,73.4534861709342,92.7011425274321,155.585885260619,237.701075159906,103.14712727627,155.550161759458,21.1375533397182
"CD22",685.14369051159,994.475417376404,225.261203692006,354.622318458423,190.473796266369,210.602135513399,59.3652157261741,61.3463286830603
"CD79A",95.8587670607037,176.337281451421,55.0890045879948,113.2183519779,115.708137189743,99.4200841977754,92.1959789686796,29.7077472418796
