"gene","P100","P195","P29","P73"
"BANK1",-1.75069591519023,2.28415091989035,-0.529305800026546,-0.311543925219262
"BLNK",-1.66385989506025,-1.02708824486057,0.295115698408429,0.783827541651448
"CD19",1.2005601769805,0.374229504642507,0.0223628453205756,0.114943073709744
"CD22",0.144207218632725,0.0465871440223415,0.536874956303243,0.652356637574762
"CD79A",-0.216857313184662,-1.60166503142659,0.872541320810297,1.02600458880681
"CD79B",-1.19658201903082,-2.82205731095788,0.357691068014984,0.740815628813261
"MS4A1",-10.6363823015076,0.237312590760938,-1.54609109850095,-0.155351365527215
"PAX5",0.329866457691332,-0.270749580860036,0.305006731434183,1.05323857441553
